text,label
head,en
few,en
ухо,ru
год,ru
one,en
день,ru
лежать,ru
день,ru
get,en
плыть,ru
parent,en
golf,en
find,en
than,en
тусклый,ru
вечер,ru
day,en
time,en
go,en
good,en
say,en
nlrkfq,ru_wrong
пасть,ru
different,en
надо,ru
ненавидеть,ru
надо,ru
по,ru
number,en
регги,ru
"'zhghbrkmj,",ru_wrong
there,en
лежать,ru
be,en
world,en
parent,en
короткий,ru
on,en
умный,ru
gmy'leb,ru_wrong
history,en
"rlb,ь",ru_wrong
стать,ru
[l;l'yl,ru_wrong
work,en
душа,ru
нельзя,ru
рот,ru
there,en
горячий,ru
in,en
this,en
next,en
but,en
рука,ru
find,en
him,en
прохладный,ru
раз,ru
what is up,en
some,en
"jh;ь,l",ru_wrong
зуб,ru
debug this,en
сильный,ru
молодой,ru
want,en
but,en
house,en
have,en
губа,ru
весь,ru
well,en
on,en
к,ru
feel,en
two,en
moment,en
city,en
надо,ru
from,en
office,en
game,en
язык программирования,ru
are,en
our,en
прохладный,ru
слышать,ru
head,en
ты,ru
our,en
весь,ru
take,en
big,en
сельдерей,ru
сидеть,ru
morning,en
father,en
оранжевый,ru
research,en
шляпа,ru
do,en
искусственный интеллект,ru
хтмл,ru
health,en
чёрный,ru
важно,ru
high,en
like,en
who,en
the,en
keyboard,en
".luh,fq",ru_wrong
лететь,ru
go,en
снег,ru
молодой,ru
day,en
its,en
есть,ru
ъ,ru
then,en
coffee,en
низкий,ru
know,en
чистый,ru
время,ru
медленный,ru
мобильное приложение,ru
день,ru
дом,ru
по,ru
great,en
старый,ru
мочь,ru
линукс,ru
give,en
с,ru
will,en
ягодка,ru
ekl';mgfq,ru_wrong
health,en
губа,ru
быть,ru
dog,en
искусственный,ru
свет,ru
even,en
kid,en
друг,ru
хотеть,ru
other,en
нельзя,ru
but,en
same,en
first,en
see,en
cloud,en
кровь,ru
think,en
tulip,en
он,ru
our,en
friend,en
понимать,ru
трусливый,ru
kid,en
ly,ru_wrong
злой,ru
well,en
car,en
уродливый,ru
bt.c,ru_wrong
слабый,ru
но,ru
able,en
дом,ru
business,en
хлеб,ru
great,en
сердце,ru
when,en
работа,ru
about,en
"nhkuhkm,rh",ru_wrong
ты,ru
